Gene_Human		d3	d6	d10
ADD1	16.67887044	8.561264882	10.79389522	12.60457639
ADD3	3.68456566	5.823378559	0	17.67527381
ADGRA2	9.868255612	35.10497397	33.01796543	20.35070892
ADGRE5	1.409577238	90.5115805	153.9586812	110.9458921
ADGRF3	0	5.556350608	12.87584497	8.260326639
ADGRG2	15.74021171	3.300064519	11.36970474	1.777119414
ADH5	54.67072292	25.38779347	24.91847206	6.613389203
ADI1	5.849471616	0	6.55895366	7.368245673
ADIPOR1	0	4.748873852	2.4448223	9.680246361
ADIPOR2	5.600282774	4.082895784	9.377487996	9.733205821
ADNP	20.68046743	9.742017513	9.5716669	7.937928649
ADORA2B	19.6501436	14.79970596	27.92491922	8.674305839
ADPRM	11.55100718	7.255162524	10.60743727	2.895221271
ADSSL1	0	3.183528546	10.69536909	4.218339972
AES	0	8.779839767	6.168124521	20.31514973
AFAP1L2	8.115195845	6.20347433	0.874775239	8.690284903
AFF1	9.153880564	5.980147435	11.25151814	4.18211356
AFF4	0	6.788946747	4.19910335	6.954786163
AFG3L2	17.30240598	13.18742301	27.08340008	29.95545863
AFMID	0	10.14432555	29.40256237	17.92234135
AFTPH	8.885528636	5.324081216	8.381988532	19.28557899
AGBL5	805.219088	770.0322	556.1685609	423.3158623
AGER	5.446529737	48.32669052	48.77374459	33.83175973
AGK	93.9711626	35.41633983	42.219494	25.4195944
AGMAT	14.98742625	17.67508241	8.199301804	12.44360093
AGO3	12.2107273	2.062230964	5.470834816	3.822759616
AGPAT4	5.542205767	20.20277321	20.41355496	23.79530611
AGPS	5.867330332	10.60369907	7.328853788	14.04006261
AGR2	5.438497013	5.432089444	2.445656426	5.090346654
AHNAK	1.654421877	7.844336977	1.525399289	48.29860637
AHSA1	0	4.494260991	1.687433848	14.04878158
AIDA	73.60867783	30.79169728	30.40385859	14.76234107
AIF1	0	9.169846632	0	6.816158101
AIFM1	12.37982996	12.29626018	20.33297579	8.184225524
AIM2	276.0467035	171.9168973	191.1869047	84.32461604
AIMP1	0	0	3.922834088	10.29662253
AIMP2	65.4898716	99.27639691	104.6812605	50.81187491
AIP	0	12.74736122	18.99730167	34.0862478
AIRE	0	0	1.206833672	0
AK2	0	119.7101817	208.7551316	74.31067928
AK3	68.73958169	7.663014934	8.767697126	4.640870448
AK5	96.22725341	16.88232572	16.73206427	7.169466084
AKAP13	2.701873565	11.2094177	4.04688545	17.94626288
AKAP14	20.26273801	9.877319738	6.446240094	0
AKAP17A	0	9.580114686	16.50317361	35.40907968
AKAP8	11.31690405	11.86183329	18.3251127	18.17832662
AKAP8L	0	14.33954494	2.137130555	10.24360181
AKAP9	18.79321066	9.274551633	2.787193237	6.715828706
AKIRIN2	111.7583932	28.68045171	31.18689208	21.31884001
AKNA	0.704229501	7.344119728	5.113534642	9.479071752
AKNAD1	68.82334493	34.34083076	57.12778957	19.12537801
AKR7L	4.081693462	34.93891368	43.89343333	49.83186728
AKT3	40.15078287	98.19626862	93.14319357	68.39385277
AKTIP	362.4428092	129.8649697	113.4600342	79.83087775
AL031281.2	114.3201491	101.6328331	133.4711855	80.56665707
AL031777.3	0	0	20.55260454	33.0879465
AL132780.3	0	10.65693049	42.93181287	13.05578612
AL136454.1	0	0	0	29.21178427
AL162231.1	0	0	18.10156309	0
AL391650.1	0	0	55.67719481	22.06098291
AL662899.2	0	23.33621717	43.45904251	32.87335294
ALAS1	16.20764419	12.3109621	10.23385116	19.78754117
ALDH1A2	0	2.10898163	3.524240135	0
ALDH1L2	10.04340784	10.59850069	12.91811722	8.174413738
ALDH2	0	14.35011641	2.846449921	16.46717754
ALDH6A1	14.12497785	4.131236039	6.401792965	7.048195925
ALDOA	0	0	1.625678991	12.80120639
ALDOB	0	2.55669915	4.156946087	1.308575668
ALG1	7.254868723	72.95488823	40.75198315	45.27012107
ALG6	130.1039791	13.86196258	12.93087792	6.321953312
ALKAL2	179.295175	66.60835826	67.36322888	35.09745559
ALKBH7	0	0	15.22795072	8.008035711
ALOX12	34.28915891	125.0003063	261.2414183	93.46675994
ALOX5	0	3.610332509	12.0661826	3.296505709
ALS2CR12	146.2563871	80.44613927	112.0202158	44.44577189
ALX3	0	4.785093553	22.55357177	4.901983132
AMBN	0	2.649601291	1.192913793	2.361664364
AMD1	3.244860587	3.515952245	2.169539252	10.45395298
AMELX	0	0	18.97932523	4.548253292
AMIGO1	0	18.79041584	16.19978358	17.54866798
AMIGO3	0	10.50921067	63.4070773	49.95816472
AMMECR1	65.22924293	11.97120387	22.88432984	8.592940458
AMN1	361.0022221	63.55928652	83.31760017	32.75196628
AMT	0	56.77991989	98.14530991	40.56132137
ANAPC15	0	7.975155922	2.063390611	7.3155591
ANGPT2	154.552754	33.31269554	48.77747881	28.72646169
